"rid", "binaryID"
58905,1
58906,10
59435,11
58909,100
59446,101
59438,110
58907,1000
59437,1100
58908,10000
59436,11000
58910,100000
59459,100001
59440,110000
59444,110001
58911,1000000
59068,1000001
59458,1000010
59441,1100000
59443,1100010
58912,10000000
59070,10000010
59439,11000000
58913,100000000
59069,100000100
59442,110000000
59445,110000001
58914,1000000000
59071,1000001000
59456,1000001001
58915,10000000000
59447,10000000001
59457,10000010010
58916,100000000000
59448,100000000010
58917,1000000000000
59449,1000000000100
58918,10000000000000
58921,100000000000000
59450,100000000000001
58920,1000000000000000
59107,1000000000000010
59451,1000000000000011
58919,10000000000000000
58922,100000000000000000
59455,100000000000000001
58923,1000000000000000000
59452,1000000000000000001
59453,10000000000000000010
59454,10000000000000000011
