"rid", "binaryID"
20788,1
20790,10
20789,100
20791,1000
22065,1001
20792,10000
22115,10001
22068,10010
22070,10011
20793,100000
22073,100001
22069,100100
22071,100110
20795,1000000
22113,1000001
22066,1001000
22072,1001100
20799,10000000
22114,10000010
22067,10010000
20798,100000000
20794,1000000000
20800,10000000000
20796,100000000000
20797,1000000000000
20801,10000000000000
22074,10000000000001
20802,100000000000000
22102,100000000000001
22075,100000000000010
22086,100000000000011
23595,1000000000000000
22103,1000000000000010
23591,1000000000000100
23596,10000000000000000
23597,10000000000000001
22104,10000000000000100
23589,10000000000001000
23590,10000000000001001
22087,100000000000000000
22091,100000000000000010
22105,100000000000001000
22085,100000000000010000
22076,100000000000010010
23221,1000000000000000000
22092,1000000000000000100
22093,1000000000000000101
22106,1000000000000010000
22077,1000000000000100100
22088,10000000000000000000
23211,10000000000000100000
22078,10000000000001001000
23598,100000000000000000000
22107,100000000000001000000
22079,100000000000010010000
22081,100000000000010010001
23601,1000000000000000000000
23603,1000000000000000000001
22108,1000000000000010000000
22080,1000000000000100100000
23592,1000000000000100100010
23599,10000000000000000000000
23600,10000000000000000000001
23602,10000000000000000000010
23604,10000000000000000000011
22111,10000000000000100000000
23593,10000000000001001000100
23594,10000000000001001000101
22101,100000000000000000000000
22097,100000000000000000000010
22096,100000000000000000000100
22089,100000000000000000000110
22109,100000000000001000000000
22084,100000000000010010001000
22082,100000000000010010001010
22098,1000000000000000000000100
22099,1000000000000000000000101
23606,1000000000000000000001100
22112,1000000000000010000000000
22083,1000000000000100100010100
22100,10000000000000000000001010
23607,10000000000000000000011000
23608,10000000000000000000011001
22110,10000000000000100000000000
23605,100000000000000000000110000
23609,100000000000000000000110001
22094,100000000000000000000110010
22095,1000000000000000000001100000
22090,1000000000000000000001100010
