"rid", "binaryID"
20962,1
20963,10
21201,11
20964,100
20993,101
23464,110
20965,1000
20994,1010
21229,1011
23463,1100
23466,1101
20966,10000
20995,10100
21230,10101
23461,11000
23462,11001
23465,11010
23467,11011
20967,100000
21228,100001
21231,101010
21233,101011
21207,110000
21206,110010
21211,110100
21202,110110
20968,1000000
21212,1000001
23473,1010100
21208,1100000
21210,1100001
21204,1101100
23471,10000000
23474,10101000
23475,10101001
21209,11000000
21203,11011000
23469,100000000
23470,100000001
21232,101010000
21234,101010010
21205,110110000
21219,1000000000
23468,1000000010
23472,1000000011
21235,1010100100
21220,10000000000
21227,10000000001
21213,10000000100
21216,10000000110
21221,100000000000
21226,100000000001
21214,100000001000
21218,100000001001
21222,1000000000000
21224,1000000000001
21215,1000000010000
21217,1000000010001
21223,10000000000000
21225,10000000000001
