"rid", "binaryID"
50866,1
52006,10
52039,11
51601,100
52002,101
52038,110
51600,1000
52003,1010
51597,1100
51982,1101
51599,10000
52005,10100
51598,11000
51594,11010
51981,11011
52004,101000
51063,110000
51596,110100
51591,110110
52067,110111
50867,1010000
51606,1010001
51595,1101000
51593,1101100
52068,1101110
50868,10100000
51607,10100010
51592,11011000
51974,11011100
50869,101000000
51603,101000001
52040,110111000
50870,1010000000
51602,1010000010
51590,1101110000
50872,10100000000
51604,10100000100
51605,10100000101
50871,101000000000
51061,101000001010
50873,1010000000000
52173,1010000010100
52172,10100000101000
52171,101000001010000
52170,1010000010100000
52167,10100000101000000
52169,10100000101000001
52166,101000001010000000
51915,101000001010000010
52168,1010000010100000000
51916,1010000010100000100
51919,1010000010100000101
51060,10100000101000000000
51917,10100000101000001000
51925,10100000101000001001
51920,10100000101000001010
51921,10100000101000001011
51918,101000001010000010000
51922,101000001010000010001
51926,101000001010000010010
51923,1010000010100000100010
51924,1010000010100000100011
