"rid", "binaryID"
20673,1
20676,10
23213,11
20675,100
22422,101
23212,110
20677,1000
22423,1010
20678,10000
22421,10100
20674,100000
22504,100001
20680,1000000
20981,1000001
22506,1000010
20681,10000000
22502,10000001
20982,10000010
22505,10000100
20679,100000000
22501,100000010
20983,100000100
20682,1000000000
22440,1000000001
22503,1000000100
20984,1000001000
20683,10000000000
20686,10000000001
22441,10000000010
22444,10000000011
20985,10000010000
22430,10000010001
20684,100000000000
22445,100000000001
20687,100000000010
22500,100000000011
22442,100000000100
22443,100000000101
20986,100000100000
22424,100000100001
22431,100000100010
22435,100000100011
20685,1000000000000
22446,1000000000001
20688,1000000000100
22498,1000000000101
20987,1000001000000
22429,1000001000001
22425,1000001000010
22428,1000001000011
22432,1000001000100
22439,1000001000101
22434,1000001000110
22447,10000000000010
22450,10000000000011
20689,10000000001000
22495,10000000001001
22499,10000000001010
22426,10000010000100
22427,10000010000101
22433,10000010001000
22436,10000010001001
22448,100000000000100
22451,100000000000101
20690,100000000010000
22456,100000000010001
22497,100000000010100
22437,100000100010010
22438,100000100010011
22449,1000000000001000
22452,1000000000001010
22454,1000000000001011
20691,1000000000100000
22493,1000000000100001
22496,1000000000101000
22453,10000000000010100
22455,10000000000010101
20692,10000000001000000
22457,10000000001000001
22494,10000000001000010
20693,100000000010000000
21002,100000000010000001
22458,100000000010000010
22459,100000000010000011
20694,1000000000100000000
22488,1000000000100000001
21003,1000000000100000010
22461,1000000000100000110
22462,1000000000100000111
20695,10000000001000000000
22481,10000000001000000001
23621,10000000001000000010
21004,10000000001000000100
22460,10000000001000001100
20696,100000000010000000000
22480,100000000010000000001
22482,100000000010000000010
22483,100000000010000000011
23622,100000000010000000100
23623,100000000010000000101
21005,100000000010000001000
22463,100000000010000001001
22465,1000000000100000000000
23143,1000000000100000000001
22484,1000000000100000000110
22485,1000000000100000001000
22489,1000000000100000001010
22464,1000000000100000010010
22466,10000000001000000000000
23618,10000000001000000000010
22486,10000000001000000010000
22487,10000000001000000010001
22490,10000000001000000010100
22492,10000000001000000010101
23619,100000000010000000000100
23620,100000000010000000000101
21080,100000000010000000101000
23160,100000000010000000101001
22491,100000000010000000101010
23616,1000000000100000000001000
23617,1000000000100000000001001
22469,1000000000100000000001010
21079,1000000000100000001010000
23161,1000000000100000001010010
22467,10000000001000000000010000
22474,10000000001000000000010010
22472,10000000001000000000010100
21081,10000000001000000010100000
21078,10000000001000000010100100
23131,10000000001000000010100101
22475,100000000010000000000100100
22477,100000000010000000000100101
22470,100000000010000000000101000
23079,100000000010000000101000000
21077,100000000010000000101001000
23132,100000000010000000101001010
22476,1000000000100000000001001000
22479,1000000000100000000001001010
22471,1000000000100000000001010000
21082,1000000000100000001010000000
23080,1000000000100000001010010000
23220,1000000000100000001010010100
22478,10000000001000000000010010100
22468,10000000001000000000010100000
22473,100000000010000000000101000000
