"rid", "binaryID"
52029,1
51232,10
51941,11
51231,100
51228,110
51942,111
51229,1000
51227,1100
51185,1110
52061,1111
51230,10000
51183,11100
51188,11101
51189,11110
52062,11111
51184,111000
51186,111010
51191,111100
52063,111110
51187,1110100
51190,1111000
51175,1111100
51195,1111101
51192,11110000
51174,11111000
51196,11111010
51194,111100000
51176,111110000
51197,111110100
51193,1111000000
51177,1111100000
51199,1111100001
51198,1111101000
51178,11111000000
51201,11111000001
51200,11111000010
51179,111110000000
51208,111110000001
51202,111110000010
51203,111110000011
51180,1111100000000
51221,1111100000001
51209,1111100000010
51204,1111100000110
51181,11111000000000
51219,11111000000001
51222,11111000000010
51205,11111000001100
51182,111110000000000
51210,111110000000001
51220,111110000000010
51224,111110000000100
51226,111110000000101
51206,111110000011000
51211,1111100000000010
51216,1111100000000011
51223,1111100000001000
51207,1111100000110000
51213,11111000000000100
51225,11111000000010000
51212,111110000000001000
51214,1111100000000010000
51217,1111100000000010001
51215,11111000000000100000
51218,11111000000000100010
51946,111110000000001000100
51933,1111100000000010001000
51961,1111100000000010001001
