"rid", "binaryID"
20933,1
20932,10
21279,11
20934,100
21315,101
21278,110
20936,1000
23152,1001
21317,1010
20935,10000
23151,10010
21316,10100
21307,100000
23147,100001
23148,100100
21308,1000000
23146,1000010
23150,1001000
21309,10000000
20937,10000100
21314,10000101
21306,10010000
23149,10010001
21311,100000000
20938,100001000
23179,100001001
21304,100100000
23105,100100010
21310,1000000000
20939,1000010000
21011,1000010001
23180,1000010010
21305,1001000000
23104,1001000100
21312,10000000000
23177,10000000001
23106,10010001000
23176,100000000010
23107,100100010000
20940,1001000100000
21280,1001000100001
20941,10010001000000
21067,10010001000001
21281,10010001000010
20942,100100010000000
21282,100100010000001
21068,100100010000010
21303,100100010000011
20943,1001000100000000
21283,1001000100000001
21069,1001000100000100
21302,1001000100000101
20944,10010001000000000
21293,10010001000000001
21071,10010001000001000
20945,100100010000000000
21287,100100010000000001
23480,100100010000000010
21070,100100010000010000
20946,1001000100000000000
21284,1001000100000000001
23478,1001000100000000010
23479,1001000100000000100
23481,1001000100000000101
21072,1001000100000100000
23684,10010001000000000000
23476,10010001000000000100
23477,10010001000000000101
21300,10010001000000001000
21294,10010001000000001010
23683,100100010000000000000
23685,100100010000000000001
21288,100100010000000001000
21291,100100010000000001010
21301,100100010000000010000
23223,100100010000000010100
23153,1001000100000000000000
21285,1001000100000000000010
21290,1001000100000000010000
21292,1001000100000000010001
21295,1001000100000000101000
23154,10010001000000000000000
21286,10010001000000000000100
21289,10010001000000000100000
21296,10010001000000001010000
21299,10010001000000001010001
20947,100100010000000000000000
21297,100100010000000010100000
21298,100100010000000010100001
20948,1001000100000000000000000
