"rid", "binaryID"
24630,1
24644,10
24248,100
24645,101
24249,1000
24649,1010
24664,1011
24680,10100
24665,10110
24679,101000
24690,101001
24220,101100
24661,101101
24678,1010000
24687,1010010
24219,1011000
24225,1011001
24247,1011010
24662,1011011
24052,10100000
24677,10100001
24692,10100100
24221,10110000
24226,10110010
24246,10110100
24227,10110110
24663,10110111
24051,101000000
23827,101000010
24676,101000011
24693,101001000
24222,101100000
24224,101100100
24228,101101100
24233,101101110
24239,101101111
24053,1010000000
24058,1010000001
23826,1010000100
23837,1010000110
23847,1010000111
24686,1010010000
24223,1011001000
24230,1011011000
24231,1011011001
24232,1011011100
24238,1011011110
24245,1011011111
24054,10100000000
24063,10100000001
23828,10100001000
24215,10100001001
23836,10100001100
23848,10100001110
24691,10100100000
24229,10110110000
24235,10110111000
24237,10110111001
24240,10110111100
24244,10110111110
24055,101000000000
24061,101000000001
24062,101000000010
23830,101000010000
24213,101000010001
24214,101000010010
23835,101000011000
23846,101000011100
24067,101000011101
24688,101001000000
24234,101101110000
24236,101101110010
24241,101101111000
24056,1010000000000
23829,1010000100000
24211,1010000100010
24216,1010000100100
23838,1010000110000
24184,1010000110001
23850,1010000111000
23927,1010000111001
24064,1010000111010
24689,1010010000000
24243,1011011110000
24057,10100000000000
24059,10100000000001
23831,10100001000000
24208,10100001000001
24210,10100001000100
24217,10100001001000
23839,10100001100000
24202,10100001100001
23849,10100001110000
23926,10100001110010
24066,10100001110100
24242,10110111100000
24060,101000000000010
23832,101000010000000
24203,101000010000001
24207,101000010000010
24209,101000010001000
24218,101000010010000
24780,101000011000000
23851,101000011100000
23947,101000011100001
23928,101000011100100
24182,101000011100101
24065,101000011101000
23833,1010000100000000
24204,1010000100000001
24212,1010000100010000
24779,1010000110000000
24781,1010000110000001
23852,1010000111000000
24068,1010000111000001
23948,1010000111000010
24180,1010000111000011
24183,1010000111001010
23834,10100001000000000
24205,10100001000000010
24198,10100001100000000
24782,10100001100000010
24783,10100001100000011
23853,10100001110000000
24173,10100001110000001
23949,10100001110000100
24177,10100001110000101
24181,10100001110010100
24206,101000010000000100
24821,101000011000000000
24185,101000011000000100
24784,101000011000000110
24785,101000011000000111
23854,101000011100000000
24172,101000011100000001
24174,101000011100000010
24175,101000011100000011
23950,101000011100001000
24178,101000011100001001
24176,101000011100001010
24822,1010000110000000000
24823,1010000110000000001
24187,1010000110000001000
24197,1010000110000001100
24786,1010000110000001110
24787,1010000110000001111
23855,1010000111000000000
24171,1010000111000000001
23951,1010000111000010000
24179,1010000111000010001
24199,10100001100000000000
24201,10100001100000000010
24186,10100001100000010000
24196,10100001100000011100
