"rid", "binaryID"
28857,1
28861,10
30792,11
28863,100
30437,101
30791,110
28860,1000
30351,1001
30438,1010
30793,1100
31064,1101
28862,10000
30435,10001
30352,10010
30436,10100
30616,11000
30684,11001
28858,100000
30354,100001
30434,100010
30350,100100
31065,110000
30347,110010
30348,110011
28859,1000000
30353,1000010
30349,1100110
28864,10000000
29092,10000001
28865,100000000
30615,100000001
29093,100000010
30433,100000011
30854,1000000000
30614,1000000010
30855,10000000000
30856,10000000001
30794,10000000100
28866,100000000000
30355,100000000010
28867,1000000000000
30432,1000000000001
30356,1000000000100
30357,1000000000101
30859,10000000000000
30860,100000000000000
30857,1000000000000000
30858,1000000000000001
28868,10000000000000000
30358,10000000000000010
30870,100000000000000000
30359,100000000000000100
30868,1000000000000000000
30869,1000000000000000001
30360,1000000000000001000
30431,10000000000000000000
30867,10000000000000000010
31019,10000000000000010000
30871,100000000000000000100
30872,100000000000000000101
31020,100000000000000100000
31021,100000000000000100001
30865,1000000000000000001000
30866,1000000000000000001001
30361,1000000000000000001010
30553,1000000000000001000000
30726,1000000000000001000010
30863,10000000000000000010000
30864,10000000000000000010001
29055,10000000000000000010010
30554,10000000000000010000000
30728,10000000000000010000100
30430,100000000000000000100000
30861,100000000000000000100010
30862,100000000000000000100011
29056,100000000000000000100100
30369,100000000000000000100101
30555,100000000000000100000000
30727,100000000000000100001000
28869,1000000000000000001000100
30371,1000000000000000001000110
29057,1000000000000000001001000
30367,1000000000000000001001010
30556,1000000000000001000000000
29131,1000000000000001000010000
30683,1000000000000001000010001
30875,10000000000000000010001000
30370,10000000000000000010001100
29059,10000000000000000010010000
30364,10000000000000000010010001
30368,10000000000000000010010100
30557,10000000000000010000000000
30592,10000000000000010000100010
30873,100000000000000000100010000
30874,100000000000000000100010001
30373,100000000000000000100011000
29058,100000000000000000100100000
30365,100000000000000000100100010
30558,100000000000000100000000000
30562,100000000000000100000000001
29132,100000000000000100001000100
30429,1000000000000000001000100000
28871,1000000000000000001000100010
30372,1000000000000000001000110000
29060,1000000000000000001001000000
30362,1000000000000000001001000001
30363,1000000000000000001001000100
30559,1000000000000001000000000000
30570,1000000000000001000000000001
30563,1000000000000001000000000010
30567,1000000000000001000000000011
28870,10000000000000000010001000100
30374,10000000000000000010001100000
30400,10000000000000000010001100001
30366,10000000000000000010010001000
30561,10000000000000010000000000000
30572,10000000000000010000000000001
30565,10000000000000010000000000100
30568,10000000000000010000000000101
30566,10000000000000010000000000110
28872,100000000000000000100010001000
30375,100000000000000000100011000000
30399,100000000000000000100011000001
30401,100000000000000000100011000010
30560,100000000000000100000000000000
30571,100000000000000100000000000010
30564,100000000000000100000000001000
30569,100000000000000100000000001010
30882,1000000000000000001000100010000
30376,1000000000000000001000110000000
30402,1000000000000000001000110000100
30573,1000000000000001000000000000100
30880,10000000000000000010001000100000
30881,10000000000000000010001000100001
30377,10000000000000000010001100000000
30398,10000000000000000010001100000001
30574,10000000000000010000000000001000
30878,100000000000000000100010001000000
30879,100000000000000000100010001000001
30403,100000000000000000100010001000010
30378,100000000000000000100011000000000
30397,100000000000000000100011000000001
31058,100000000000000100000000000010000
31060,100000000000000100000000000010001
30876,1000000000000000001000100010000000
30877,1000000000000000001000100010000010
30379,1000000000000000001000110000000000
30396,1000000000000000001000110000000001
31061,1000000000000001000000000000100000
64287,1000000000000001000000000000100001
30048,1000000000000001000000000000100010
30423,10000000000000000010001000100000000
28873,10000000000000000010001000100000100
30380,10000000000000000010001100000000000
30395,10000000000000000010001100000000001
29120,10000000000000010000000000001000000
31059,10000000000000010000000000001000010
31062,10000000000000010000000000001000011
30047,10000000000000010000000000001000100
30064,10000000000000010000000000001000101
30425,100000000000000000100010001000000000
28874,100000000000000000100010001000001000
30422,100000000000000000100010001000001001
30381,100000000000000000100011000000000000
30387,100000000000000000100011000000000001
31052,100000000000000100000000000010000100
29119,100000000000000100000000000010000110
30046,100000000000000100000000000010001000
30049,100000000000000100000000000010001001
30065,100000000000000100000000000010001010
30424,1000000000000000001000100010000000000
28875,1000000000000000001000100010000010000
30421,1000000000000000001000100010000010001
30382,1000000000000000001000110000000000000
30392,1000000000000000001000110000000000001
30386,1000000000000000001000110000000000010
31053,1000000000000001000000000000100001000
