"rid", "binaryID"
62718,1
63865,10
63863,100
63864,101
62887,1000
62720,1010
62888,10000
62721,10100
62719,101000
62724,1010000
62902,1010001
62723,10100000
62903,10100010
62722,101000000
62904,101000100
63868,1010000000
63866,10100000000
63867,10100000001
62725,101000000000
62891,101000000010
63879,1010000000000
62889,1010000000100
63877,10100000000000
63878,10100000000001
62890,10100000001000
62895,101000000000000
62896,101000000000010
62892,101000000010000
62894,101000000010001
62893,1010000000100000
