"rid", "binaryID"
51145,1
51146,10
51155,11
52020,100
52028,101
51154,110
51147,1000
52022,1001
52026,1010
51148,10000
52021,10010
52025,10100
51149,100000
51172,100001
51156,100100
51158,100101
52027,101000
52121,1000000
51171,1000010
51157,1001000
51159,1001010
52122,10000000
52123,10000001
51173,10000100
51167,100000000
52124,100000010
52125,100000011
51170,100001000
51168,1000000000
51161,1000000100
51150,1000000110
51169,10000000000
51162,10000001000
51164,10000001001
51151,10000001100
51163,100000010000
51165,100000010001
51152,100000011000
51166,1000000100010
51153,1000000110000
52023,1000000110001
51066,10000001000100
51989,10000001100010
52060,10000001100011
51160,100000011000100
51991,100000011000101
51065,1000000110001010
52024,1000000110001011
