"rid", "binaryID"
30298,1
30785,10
30789,11
30300,100
30784,101
30790,110
30299,1000
30786,1010
29133,1100
30685,1101
30314,10100
30687,10101
29134,11000
30686,11010
30313,101000
30304,101010
30311,101011
31014,110100
30305,1010100
30312,1010110
31015,1101000
30303,10101000
30620,10101100
30788,10101101
31012,11010000
31013,11010001
30302,101010000
30787,101011010
31011,110100000
30315,110100010
30301,1010100000
30316,1101000000
30306,10101000000
30310,101010000000
30307,1010100000000
30308,10101000000000
30309,10101000000001
