"rid", "binaryID"
59116,1
59117,10
59153,11
59118,100
59129,101
59154,110
59155,111
59119,1000
59151,1001
59120,10000
59152,10010
59121,100000
59122,1000000
59130,1000001
59124,10000000
59150,10000001
59131,10000010
59136,10000011
59125,100000000
59133,100000100
59137,100000101
59123,1000000000
59134,1000001000
59140,1000001010
59126,10000000000
59142,10000000001
59132,10000010000
59138,10000010100
59127,100000000000
59147,100000000001
59135,100000100000
59141,100000100001
59139,100000101000
59128,1000000000000
59148,1000000000010
59149,1000000000011
59144,10000000000000
59617,10000000000001
59145,100000000000000
59146,100000000000001
59143,100000000000010
59625,100000000000011
