"rid", "binaryID"
62692,1
62691,10
62693,100
63005,101
62694,1000
63095,1001
62695,10000
63093,10001
63096,10010
62696,100000
63078,100001
63094,100100
62697,1000000
63760,1000001
63077,1000010
62698,10000000
63747,10000010
63781,10000011
63081,10000100
63091,10000101
63851,100000100
63079,100001000
63092,100001010
63852,1000001000
63853,1000001001
63083,1000010000
63006,10000010000
62699,10000010010
63080,10000100000
62700,100000100100
63007,100000100101
63082,100001000000
62701,1000001001000
63075,1000001001001
63009,1000001001010
63012,1000001001011
63086,1000010000000
63090,1000010000001
62702,10000010010000
63013,10000010010001
63076,10000010010010
63011,10000010010100
63084,10000100000000
63089,10000100000010
63889,100000100100000
63015,100000100100010
63074,100000100100100
63010,100000100101000
63088,100001000000000
63887,1000001001000000
63888,1000001001000001
63014,1000001001000100
63008,1000001001010000
63085,1000010000000000
63073,10000010010000000
63885,10000010010000010
63886,10000010010000011
63016,10000010010001000
63017,10000010010001001
63087,10000100000000000
63071,100000100100000000
63036,100000100100000100
63037,100000100100000110
63019,100000100100010010
63072,1000001001000000000
63040,1000001001000001100
63061,1000001001000001101
63018,1000001001000100100
63038,10000010010000011000
63059,10000010010000011010
63884,10000010010001001000
63039,100000100100000110000
63060,100000100100000110100
63882,100000100100010010000
63883,100000100100010010001
63041,1000001001000001100000
63043,1000001001000001100001
63062,1000001001000001101000
63063,1000001001000001101001
63028,1000001001000100100000
63880,1000001001000100100010
63881,1000001001000100100011
63042,10000010010000011000010
63066,10000010010000011010010
63069,10000010010000011010011
63029,10000010010001001000000
63027,10000010010001001000100
63025,10000010010001001000110
63044,100000100100000110000100
63064,100000100100000110100100
63070,100000100100000110100110
63031,100000100100010010000000
63035,100000100100010010000001
63020,100000100100010010001100
63045,1000001001000001100001000
63049,1000001001000001100001001
63068,1000001001000001101001000
63030,1000001001000100100000000
63033,1000001001000100100000010
63021,1000001001000100100011000
63046,10000010010000011000010000
63047,10000010010000011000010001
63050,10000010010000011000010010
63052,10000010010000011000010011
63067,10000010010000011010010000
63034,10000010010001001000000100
63022,10000010010001001000110000
63803,100000100100000110000100000
63048,100000100100000110000100010
63051,100000100100000110000100100
63053,100000100100000110000100110
63055,100000100100000110000100111
63065,100000100100000110100100000
63032,100000100100010010000001000
63024,100000100100010010001100000
63729,1000001001000001100001000000
63054,1000001001000001100001001100
63056,1000001001000001100001001110
63057,1000001001000001100001001111
63023,1000001001000100100011000000
63728,10000010010000011000010000000
63805,10000010010000011000010000001
63734,10000010010000011000010011000
63739,10000010010000011000010011001
63058,10000010010000011000010011110
63026,10000010010001001000110000000
63807,100000100100000110000100000000
63806,100000100100000110000100000010
63802,100000100100000110000100110010
63804,1000001001000001100001000000100
