"rid", "binaryID"
21863,1
21864,10
21873,11
21867,100
21874,101
21872,110
21865,1000
21889,1001
21875,1010
21866,10000
21894,10001
21891,10010
21878,10100
21883,10101
21870,100000
21897,100001
21893,100010
21884,100100
21879,101000
21868,1000000
21896,1000010
21892,1000100
21890,1001000
21880,1010000
21869,10000000
21895,10000100
21885,10010000
21876,10100000
21871,100000000
21898,100000001
21888,100100000
21877,101000000
21887,1001000000
21881,1010000000
21882,1010000001
21886,10010000000
