"rid", "binaryID"
62728,1
62727,10
62729,100
62730,1000
62726,10000
62735,100000
62737,100001
62736,1000000
62740,1000010
62813,1000011
62731,10000000
62739,10000100
62814,10000110
62734,100000000
62741,100001000
62732,1000000000
62738,1000010000
62733,10000000000
62742,10000100000
62816,10000100001
62743,100001000000
62815,100001000010
62746,1000010000000
62818,1000010000001
63735,1000010000100
63737,1000010000101
62745,10000100000000
62819,10000100000010
63736,10000100001000
63738,10000100001010
62748,100001000000000
62817,100001000000100
62744,1000010000000000
62820,1000010000001000
62827,1000010000001001
62747,10000100000000000
62822,10000100000010000
62828,10000100000010010
62852,10000100000010011
62749,100001000000000000
62867,100001000000000001
62821,100001000000100000
62829,100001000000100100
62851,100001000000100101
62855,100001000000100110
62750,1000010000000000000
62868,1000010000000000001
62823,1000010000001000000
62860,1000010000001000001
62830,1000010000001001000
62838,1000010000001001001
62850,1000010000001001010
62857,1000010000001001100
62751,10000100000000000000
62824,10000100000010000000
62859,10000100000010000010
62831,10000100000010010000
62842,10000100000010010001
62840,10000100000010010010
62849,10000100000010010100
62853,10000100000010011000
62752,100001000000000000000
62825,100001000000100000000
62865,100001000000100000001
62861,100001000000100000100
62833,100001000000100100000
62843,100001000000100100010
62848,100001000000100100011
62839,100001000000100100100
62856,100001000000100110000
62753,1000010000000000000000
62869,1000010000000000000001
62826,1000010000001000000000
62864,1000010000001000000010
62858,1000010000001000001000
62832,1000010000001001000000
62844,1000010000001001000100
62837,1000010000001001001000
62854,1000010000001001100000
62754,10000100000000000000000
62885,10000100000000000000001
62870,10000100000000000000010
62877,10000100000000000000011
62866,10000100000010000000100
62862,10000100000010000010000
62834,10000100000010010000000
62845,10000100000010010001000
62841,10000100000010010010000
62755,100001000000000000000000
62883,100001000000000000000001
62871,100001000000000000000100
62878,100001000000000000000110
62881,100001000000000000000111
62863,100001000000100000100000
62835,100001000000100100000000
62846,100001000000100100010000
62836,100001000000100100100000
62756,1000010000000000000000000
62884,1000010000000000000000010
62873,1000010000000000000001000
62874,1000010000000000000001001
62879,1000010000000000000001100
62882,1000010000000000000001101
62847,1000010000001001000100000
62757,10000100000000000000000000
62872,10000100000000000000010000
62876,10000100000000000000010010
62880,10000100000000000000011000
62758,100001000000000000000000000
62875,100001000000000000000100100
