"rid", "binaryID"
28883,1
28882,10
30217,11
30219,100
30695,101
30218,110
30220,1000
30706,1010
29136,10000
28884,10100
30693,10101
28885,101000
30222,101001
30694,101010
30779,1010000
30782,1010001
30223,1010010
29135,1010100
30783,1010101
28887,10100000
30692,10100001
30781,10100010
30221,10100100
30240,10101010
30248,10101011
28886,101000000
30691,101000010
30780,101000100
30224,101001000
30226,101001001
30241,101010100
30249,101010110
28888,1010000000
30228,1010000001
30230,1010000100
30231,1010000101
31008,1010001000
30225,1010010000
30227,1010010001
30242,1010101000
30250,1010101100
28889,10100000000
30229,10100000001
30232,10100001010
30233,10100001011
31006,10100010000
31007,10100010001
30243,10101010000
30251,10101011000
28890,101000000000
30234,101000010110
30235,101000010111
30239,101000100000
30236,101000100010
30244,101010100000
28891,1010000000000
31042,1010000101110
30237,1010001000100
30238,1010001000101
30254,1010101000000
31043,10100001011100
30255,10101010000000
30126,101000010111000
