"rid", "binaryID"
24899,1
24900,10
25160,11
24901,100
25060,101
25161,110
24902,1000
25022,1001
25061,1010
25062,1011
24924,1100
24903,10000
25059,10001
24928,11000
24904,100000
25164,100001
24926,110000
24905,1000000
25023,1000001
24925,1100000
24906,10000000
25024,10000001
24927,11000000
24907,100000000
25166,100000001
25072,110000000
25157,110000001
24908,1000000000
25058,1000000001
25071,1100000000
25163,1100000010
24913,10000000000
25028,10000000001
25073,11000000000
25162,11000000100
24910,100000000000
25026,100000000010
25063,110000001000
24909,1000000000000
25025,1000000000100
25064,1100000010000
25065,1100000010001
24912,10000000000000
25027,10000000001000
25067,11000000100010
25070,11000000100011
24911,100000000000000
25029,100000000010000
25066,110000001000100
25068,110000001000110
24915,1000000000000000
24918,1000000000000001
25069,1100000010001100
24914,10000000000000000
24919,10000000000000010
24916,100000000000000000
25057,100000000000000001
24920,100000000000000100
25030,100000000000000101
24917,1000000000000000000
25035,1000000000000000001
24921,1000000000000001000
25032,1000000000000001001
25031,1000000000000001010
25204,10000000000000000000
25036,10000000000000000010
24923,10000000000000010000
25033,10000000000000010001
25199,100000000000000000000
25200,100000000000000000001
24922,100000000000000100000
25034,100000000000000100010
25197,1000000000000000000000
25198,1000000000000000000001
25194,1000000000000000000010
25195,1000000000000000000011
25055,10000000000000000000000
25056,10000000000000000000010
25053,10000000000000000000100
25192,10000000000000000000110
25201,10000000000000000000111
25054,100000000000000000001000
25189,100000000000000000001100
25190,100000000000000000001101
25202,100000000000000000001110
25203,100000000000000000001111
25188,1000000000000000000011010
25191,1000000000000000000011011
25165,1000000000000000000011100
25154,1000000000000000000011110
25037,10000000000000000000110100
25193,10000000000000000000110110
25196,10000000000000000000110111
25038,10000000000000000000111000
25039,10000000000000000000111001
25174,100000000000000000001101100
25172,100000000000000000001101110
25173,1000000000000000000011011000
25040,1000000000000000000011011100
25047,1000000000000000000011011101
25041,10000000000000000000110111000
25048,10000000000000000000110111001
25042,100000000000000000001101110000
25050,100000000000000000001101110001
25049,100000000000000000001101110010
25043,1000000000000000000011011100000
25044,10000000000000000000110111000000
25052,10000000000000000000110111000001
25045,100000000000000000001101110000000
25051,100000000000000000001101110000010
25046,1000000000000000000011011100000000
