"rid", "binaryID"
52228,1
52229,10
52613,11
52231,100
52607,101
52611,110
52230,1000
52608,1010
52612,1100
52621,1101
52232,10000
52944,10001
52609,10100
52615,11000
52913,11001
52622,11010
52234,100000
52945,100010
52610,101000
52614,110000
52914,110010
52623,110100
52236,1000000
52603,1000100
52605,1000101
52947,1100100
52233,10000000
52604,10001000
52606,10001010
52946,11001000
52235,100000000
52616,110010000
52237,1000000000
52618,1100100000
52619,1100100001
52617,11001000000
52620,11001000010
