"rid", "binaryID"
20969,1
23442,10
23440,100
23441,101
21194,1000
20970,1010
23457,10100
23455,101000
23456,101001
23452,1010000
23453,1010001
21175,1010010
21193,10100000
23451,10100010
23454,10100011
23449,101000100
23450,101000101
21176,101000110
23447,1010001000
23448,1010001001
23173,1010001010
23445,10100010000
23446,10100010001
21177,10100010010
23443,101000100000
23444,101000100001
21180,101000100010
21178,101000100100
21179,101000100101
20971,1010001000000
21191,1010001000010
21181,1010001000100
20973,10100010000000
21192,10100010000100
20972,101000100000000
20974,1010001000000000
21182,1010001000000001
20975,10100010000000000
21183,10100010000000001
20976,101000100000000000
21184,101000100000000001
20977,1010001000000000000
21190,1010001000000000001
21185,1010001000000000010
21186,1010001000000000011
20978,10100010000000000000
21189,10100010000000000001
20979,101000100000000000000
21187,101000100000000000001
21188,101000100000000000010
20980,1010001000000000000000
