"rid", "binaryID"
59156,1
59662,10
59660,100
59661,101
59157,1000
59160,1010
59665,10000
59663,100000
59664,100001
59158,1000000
59161,1000010
59159,10000000
59162,10000001
59164,100000010
59183,100000011
59163,1000000100
59167,10000001000
59174,10000001001
59166,100000010000
59173,100000010010
59168,1000000100000
59165,10000001000000
59169,100000010000000
59170,1000000100000000
59171,10000001000000000
59175,10000001000000001
59172,100000010000000000
59176,100000010000000010
59180,100000010000000011
59178,1000000100000000100
59182,1000000100000000101
59181,1000000100000000110
59179,10000001000000001000
59177,100000010000000010000
59690,1000000100000000100000
59106,10000001000000001000000
