"rid", "binaryID"
25082,1
25171,10
25170,100
25084,1000
25083,10000
25213,100000
25211,1000000
25208,10000000
25210,10000001
25127,100000000
25209,100000010
25212,100000011
25126,1000000000
25206,1000000100
25207,1000000101
25088,1000000110
25205,10000001000
25214,10000001001
25085,10000001010
25087,10000001100
25125,100000010000
25109,100000010010
25219,100000010100
25089,100000011000
25110,1000000100100
25124,1000000100101
25215,1000000101000
25216,1000000101001
25090,1000000110000
25093,1000000110001
25111,10000001001000
25115,10000001001001
25105,10000001010000
25217,10000001010010
25218,10000001010011
25091,10000001100000
25092,10000001100001
25112,100000010010000
25118,100000010010001
25116,100000010010010
25106,100000010100000
25086,100000010100100
25094,100000010100110
25113,1000000100100000
25119,1000000100100001
25117,1000000100100010
25107,1000000101000000
25155,1000000101001000
25156,1000000101001001
25095,1000000101001100
25104,1000000101001101
25114,10000001001000000
25120,10000001001000010
25123,10000001001000011
25108,10000001010000000
25167,10000001010010000
25168,10000001010010010
25096,10000001010011000
25098,10000001010011001
25103,10000001010011010
25222,100000010010000100
25169,100000010100100100
25097,100000010100110000
25101,100000010100110001
25099,100000010100110010
25100,100000010100110011
25102,100000010100110100
25220,1000000100100001000
25221,1000000100100001001
25121,10000001001000010000
25122,10000001001000010010
