"rid", "binaryID"
52213,1
52212,10
52214,100
52985,101
52215,1000
52655,1001
52984,1010
52217,10000
52652,10001
52654,10010
52660,10100
52216,100000
52647,100001
52650,100010
52653,100100
52661,101000
52909,1000000
52646,1000010
52648,1000100
52982,1001000
52635,10000000
52649,10001000
52656,10010000
52983,10010001
52634,100000000
52651,100010000
52657,100100000
52658,100100010
52956,1000000000
52659,1001000100
52957,10000000000
52663,10010001000
52222,100000000000
52662,100100010000
52219,1000000000000
52664,1001000100000
52669,1001000100001
52221,10000000000000
52666,10010001000000
52668,10010001000010
52220,100000000000000
52665,100100010000000
52218,1000000000000000
52667,1001000100000000
52223,10000000000000000
52645,10000000000000001
52224,100000000000000000
52636,100000000000000001
52225,1000000000000000000
52977,1000000000000000001
52348,10000000000000000000
52976,10000000000000000010
52346,100000000000000000000
52923,100000000000000000100
52349,1000000000000000000000
52922,1000000000000000001000
52345,10000000000000000000000
52350,100000000000000000000000
52347,1000000000000000000000000
