"rid", "binaryID"
50819,1
51690,10
51999,11
51689,100
52000,110
51693,1000
52048,1001
50820,1100
51691,10000
52047,10010
50825,11000
51697,11001
51692,100000
52049,100100
50823,110000
51696,110010
51694,1000000
52046,1001000
50821,1100000
51698,1100100
51699,1100101
51695,10000000
52066,10010000
50826,11000000
51788,11000001
51684,100100000
50822,110000000
51789,110000010
51685,1001000000
51686,1001000001
50824,1100000000
50827,11000000000
50857,11000000001
50828,110000000000
51777,110000000001
50858,110000000010
51783,110000000011
50829,1100000000000
51700,1100000000001
51778,1100000000010
51782,1100000000011
50859,1100000000100
51785,1100000000101
50830,11000000000000
51044,11000000000001
51779,11000000000100
51780,11000000000110
52084,11000000001000
51786,11000000001010
50831,110000000000000
51704,110000000000001
51045,110000000000010
51701,110000000000011
51781,110000000001100
52085,110000000010000
52086,110000000010001
51787,110000000010100
50832,1100000000000000
51775,1100000000000001
51705,1100000000000010
51046,1100000000000100
51702,1100000000000101
51784,1100000000100000
50860,1100000000100010
50833,11000000000000000
51706,11000000000000001
51776,11000000000000010
51047,11000000000001000
51703,11000000000001010
52001,110000000000000000
51707,110000000000000010
51049,110000000000010000
50834,1100000000000000000
51032,1100000000000000001
51048,1100000000000100000
50835,11000000000000000000
51774,11000000000000000001
51033,11000000000000000010
51708,11000000000000000011
51050,11000000000001000000
52051,110000000000000000000
64321,110000000000000000001
51034,110000000000000000100
51051,110000000000010000000
52050,1100000000000000000000
50836,1100000000000000000010
51730,1100000000000000000011
51037,1100000000000000001000
51052,1100000000000100000000
52053,11000000000000000000000
50838,11000000000000000000100
51733,11000000000000000000110
51036,11000000000000000010000
51053,11000000000001000000000
52052,110000000000000000000000
50837,110000000000000000001000
51734,110000000000000000001100
51035,110000000000000000100000
51054,110000000000010000000000
52055,1100000000000000000000000
50839,1100000000000000000010000
51736,1100000000000000000010001
51731,1100000000000000000011000
51038,1100000000000000001000000
51715,1100000000000000001000001
52054,11000000000000000000000000
50840,11000000000000000000100000
51737,11000000000000000000100010
51735,11000000000000000000110000
51039,11000000000000000010000000
51714,11000000000000000010000001
51716,11000000000000000010000010
51717,110000000000000000000000000
50841,110000000000000000001000000
51773,110000000000000000001000001
51732,110000000000000000001100000
51040,110000000000000000100000000
51709,110000000000000000100000001
51718,1100000000000000000000000000
50842,1100000000000000000010000000
51772,1100000000000000000010000010
51041,1100000000000000001000000000
51713,1100000000000000001000000001
51710,1100000000000000001000000010
51719,11000000000000000000000000000
50843,11000000000000000000100000000
51043,11000000000000000010000000000
51711,11000000000000000010000000001
51721,110000000000000000000000000000
51724,110000000000000000000000000001
50844,110000000000000000001000000000
51042,110000000000000000100000000000
51712,110000000000000000100000000010
51720,1100000000000000000000000000000
51723,1100000000000000000000000000010
50845,1100000000000000000010000000000
51771,1100000000000000000010000000001
51722,11000000000000000000000000000000
51725,11000000000000000000000000000100
50846,11000000000000000000100000000000
51726,110000000000000000000000000001000
50847,110000000000000000001000000000000
51727,1100000000000000000000000000010000
51728,1100000000000000000000000000010001
50848,1100000000000000000010000000000000
51738,1100000000000000000010000000000001
51729,11000000000000000000000000000100010
50849,11000000000000000000100000000000000
51740,11000000000000000000100000000000001
51739,11000000000000000000100000000000010
50850,110000000000000000001000000000000000
51766,110000000000000000001000000000000001
51741,110000000000000000001000000000000010
51762,110000000000000000001000000000000011
50851,1100000000000000000010000000000000000
51765,1100000000000000000010000000000000001
51767,1100000000000000000010000000000000010
51770,1100000000000000000010000000000000011
51742,1100000000000000000010000000000000100
51761,1100000000000000000010000000000000101
50852,11000000000000000000100000000000000000
50997,11000000000000000000100000000000000001
51768,11000000000000000000100000000000000100
51769,11000000000000000000100000000000000101
51743,11000000000000000000100000000000001000
51760,11000000000000000000100000000000001001
50853,110000000000000000001000000000000000000
51763,110000000000000000001000000000000000001
51056,110000000000000000001000000000000000010
51744,110000000000000000001000000000000010000
51980,110000000000000000001000000000000010010
50854,1100000000000000000010000000000000000000
51764,1100000000000000000010000000000000000001
51938,1100000000000000000010000000000000000100
51745,1100000000000000000010000000000000100000
51758,1100000000000000000010000000000000100100
51759,1100000000000000000010000000000000100101
50855,11000000000000000000100000000000000000000
51936,11000000000000000000100000000000000001000
51746,11000000000000000000100000000000001000000
50856,110000000000000000001000000000000000000000
51747,110000000000000000001000000000000010000000
51748,1100000000000000000010000000000000100000000
51756,1100000000000000000010000000000000100000001
51749,11000000000000000000100000000000001000000000
51750,11000000000000000000100000000000001000000001
51757,11000000000000000000100000000000001000000010
51751,110000000000000000001000000000000010000000010
51755,110000000000000000001000000000000010000000011
51754,1100000000000000000010000000000000100000000100
51753,11000000000000000000100000000000001000000001000
51752,110000000000000000001000000000000010000000010000
