"rid", "binaryID"
63758,1
62812,10
63793,11
63798,100
63796,110
63794,1100
63795,11000
63546,110000
63575,110001
63547,1100000
63574,1100010
63549,11000000
63561,11000001
63550,110000000
63548,1100000000
63551,11000000000
63552,110000000000
63573,110000000001
63554,1100000000000
63553,11000000000000
63555,110000000000000
63564,110000000000001
63556,1100000000000000
63563,1100000000000001
63565,1100000000000010
63569,1100000000000011
63557,11000000000000000
63562,11000000000000001
63567,11000000000000100
63572,11000000000000101
63571,11000000000000110
63560,110000000000000000
63566,110000000000001000
63570,110000000000001100
63558,1100000000000000000
63568,1100000000000010000
63559,11000000000000000000
