"rid", "binaryID"
58304,1
58302,10
58708,11
58303,100
58709,110
58305,1000
58725,1001
58306,10000
58726,10010
58731,10011
58308,100000
58710,100001
58727,100100
58729,100101
58730,100110
58307,1000000
58711,1000010
58728,1001000
58712,10000100
58722,10000101
58713,100001000
58723,100001010
58714,1000010000
58721,1000010100
58846,10000100000
58660,10000101000
58724,10000101001
58844,100001000000
58845,100001000001
58657,100001010000
58658,100001010001
58720,1000010000000
58715,1000010000010
58656,1000010100000
58716,10000100000100
58659,10000101000000
58717,100001000001000
58718,1000010000010000
58719,1000010000010001
