"rid", "binaryID"
21473,1
21474,10
21476,11
21475,100
23199,101
21478,110
21499,1000
23197,1001
23201,1010
21477,1100
21500,10000
23094,10010
21497,10100
23200,10101
21479,11000
21484,11001
21501,100000
21502,100001
23101,100100
21498,101000
23198,101010
21480,110000
21483,110010
21503,1000010
21504,1000011
21489,1010100
21494,1010101
21481,1100000
21482,1100001
21485,1100100
21487,1100101
21505,10000110
21507,10000111
21491,10101000
21492,10101001
21495,10101010
21496,10101011
21486,11001000
21488,11001001
21506,100001100
21490,101010000
21493,101010010
