"rid", "binaryID"
59598,1
59202,10
59201,100
59203,1000
59200,10000
59204,100000
59214,100001
59205,1000000
59215,1000010
59217,1000011
59206,10000000
59216,10000100
59218,10000110
59225,10000111
59207,100000000
59219,100001100
59231,100001101
59228,100001110
59208,1000000000
59220,1000011000
59227,1000011100
59209,10000000000
59221,10000110000
59226,10000111000
59210,100000000000
59224,100001100000
59229,100001110000
59230,100001110001
59211,1000000000000
59234,1000000000001
59222,1000011000000
59671,10000000000000
59235,10000000000010
59223,10000110000000
59669,100000000000000
59670,100000000000001
59236,100000000000100
59233,1000000000000000
59212,1000000000000010
59237,1000000000001000
59674,10000000000000100
59687,10000000000010000
59672,100000000000001000
59673,100000000000001001
59686,100000000000100000
59213,1000000000000010000
59232,1000000000000010010
59238,1000000000001000000
59239,10000000000010000000
59612,10000000000010000001
59240,100000000000100000000
59242,100000000000100000001
59613,100000000000100000010
59241,1000000000001000000000
